model,family,params_B,type,source,wmf_am_mean,agent_score,K3,K5,K7,K10,K15,K20,K30,K50,K75,K100,K_crit,alpha,sigmoid_R2,supported_agent,unsupported_agent,load_shift_delta
claude-sonnet-4,Anthropic,,standard,api,1.0,0.9,1.0,1.0,1.0,1.0,0.95,1.0,0.95,0.65,,,55.3,0.1171,0.981,0.9,0.4,0.5
o3-mini,OpenAI,,LRM,api,1.0,0.9,1.0,1.0,1.0,1.0,1.0,0.95,0.65,0.0,0.0,0.0,32.4,0.255,1.0,0.6,0.6,0.0
deepseek-v3,DeepSeek,671,standard,api,0.95,0.9,1.0,1.0,1.0,1.0,0.95,0.85,0.7,0.35,,,38.4,0.0689,0.994,0.9,0.4,0.5
gpt-4o,OpenAI,,standard,api,0.8,0.9,0.95,0.75,0.5,0.35,0.1,0.2,0.0,0.1,,,4.9,0.2358,0.948,0.9,0.3,0.6
qwen2.5:32b,Qwen,32,standard,ollama,0.7,0.9,0.875,0.7,0.525,0.15,0.05,0.0,0.05,0.05,,,7.1,0.5292,0.99,,,
qwen2.5:14b,Qwen,14,standard,ollama,0.5666666666666667,0.9,0.775,0.65,0.275,0.2,0.2,0.15,0.15,0.05,,,2.9,0.2339,0.828,,,
qwen2.5:7b,Qwen,7,standard,ollama,0.4083333333333333,0.9,0.7,0.4,0.125,0.15,0.1,0.1,0.05,0.05,,,2.6,0.4315,0.898,,,
gemma2:9b,Gemma,9,standard,ollama,0.35555555555555557,0.9,0.733,0.333,0.0,0.1,0.05,0.05,0.1,0.0,,,4.9,2.0,0.943,,,
gemini-2.5-flash,Google,,standard,api,0.767,0.8,1.0,0.7,0.6,0.45,0.15,0.1,0.0,0.15,,,5.3,0.2116,0.957,0.8,0.3,0.5
gemma2:27b,Gemma,27,standard,ollama,0.5916666666666667,0.8,0.75,0.75,0.275,0.2,0.0,0.05,0.1,0.1,,,6.5,0.559,0.908,,,
gpt-4o-mini,OpenAI,,standard,api,0.533,0.8,0.75,0.4,0.4,0.3,0.2,0.05,0.05,0.1,,,1.3,0.165,0.892,0.8,0.2,0.6
deepseek-r1:14b,DeepSeek,14,LRM-distill,ollama,0.7166666666666667,0.7,0.675,0.675,0.8,0.55,0.35,0.25,0.0,0.0,,,15.3,0.2221,0.958,,,
llama3.1:70b,Llama,70,standard,ollama,0.5,0.7,,,,0.35,0.3,0.45,0.35,0.1,,,46.1,0.2508,0.824,,,
command-r:35b,Cohere,35,standard,ollama,0.4,0.7,0.667,0.333,0.2,0.15,0.1,0.0,0.1,0.05,,,2.0,0.3517,0.908,,,
llama3.1:8b,Llama,8,standard,ollama,0.15833333333333333,0.6,0.175,0.225,0.075,0.05,0.25,0.0,0.05,0.05,,,-10.0,0.0543,0.264,,,
deepseek-r1-full,DeepSeek,671,LRM,api,1.0,0.5,1.0,1.0,0.95,1.0,1.0,0.95,0.95,0.7,0.85,0.75,91.2,0.0076,0.678,0.6,0.2,0.4
mixtral:8x7b,Mistral,46.7,standard,ollama,0.37777777777777777,0.4,0.667,0.4,0.067,0.05,0.15,0.05,0.05,0.0,,,5.2,1.2241,0.922,,,
qwen2.5:3b,Qwen,3,standard,ollama,0.3111111111111111,0.4,0.533,0.267,0.133,0.1,0.05,0.1,0.05,0.0,,,1.3,0.384,0.915,,,
gemma2:2b,Gemma,2,standard,ollama,0.21666666666666667,0.4,0.4,0.15,0.1,0.05,0.15,0.05,0.0,0.0,,,0.5,0.4243,0.774,,,
deepseek-r1:7b,DeepSeek,7,LRM-distill,ollama,0.1111111111111111,0.4,0.133,0.133,0.067,0.6,0.5,0.15,0.05,0.0,,,20.0,2.0,0.293,,,
mistral:7b,Mistral,7,standard,ollama,0.36666666666666664,0.3,0.6,0.275,0.225,0.05,0.05,0.05,0.1,0.0,,,1.8,0.3858,0.925,,,
yi:34b,Yi,34,standard,ollama,0.26666666666666666,0.3,0.6,0.133,0.067,0.0,0.05,0.05,0.05,0.0,,,2.5,0.8956,0.966,,,
llama3.2:3b,Llama,3,standard,ollama,0.15555555555555556,0.3,0.2,0.133,0.133,0.0,0.1,0.0,0.1,0.05,,,-10.0,0.1398,0.344,,,
qwen2.5:1.5b,Qwen,1.5,standard,ollama,0.11666666666666667,0.3,0.2,0.15,0.0,0.1,0.15,0.0,0.05,0.05,,,-10.0,0.0703,0.272,,,
phi3:14b,Phi,14,standard,ollama,0.4222222222222222,0.2,0.733,0.267,0.267,0.4,0.25,0.0,0.05,0.1,,,-0.9,0.135,0.671,,,
llama3.2:1b,Llama,1,standard,ollama,0.06666666666666667,0.2,0.05,0.1,0.05,0.1,0.05,0.0,0.0,0.0,,,15.3,2.0,0.795,,,
tinyllama:1.1b,TinyLlama,1.1,standard,ollama,0.11666666666666667,0.0,0.1,0.25,0.0,0.05,0.0,0.0,0.0,0.05,,,6.3,2.0,0.629,,,
qwen2.5:0.5b,Qwen,0.5,standard,ollama,0.05,0.0,0.1,0.0,0.05,0.0,0.1,0.05,0.05,0.05,,,200.0,0.001,-0.001,,,
