model,K,seed,surface_form,accurate,family,log_params
qwen2.5:7b,3,42,points_scoring,0,Qwen,0.8450980400142568
qwen2.5:7b,3,42,points_scoring,1,Qwen,0.8450980400142568
qwen2.5:7b,3,42,points_scoring,1,Qwen,0.8450980400142568
qwen2.5:7b,3,42,points_scoring,1,Qwen,0.8450980400142568
qwen2.5:7b,3,42,points_scoring,0,Qwen,0.8450980400142568
qwen2.5:7b,3,42,warehouse,0,Qwen,0.8450980400142568
qwen2.5:7b,3,42,warehouse,1,Qwen,0.8450980400142568
qwen2.5:7b,3,42,warehouse,1,Qwen,0.8450980400142568
qwen2.5:7b,3,42,warehouse,1,Qwen,0.8450980400142568
qwen2.5:7b,3,42,warehouse,1,Qwen,0.8450980400142568
qwen2.5:7b,5,42,points_scoring,1,Qwen,0.8450980400142568
qwen2.5:7b,5,42,points_scoring,0,Qwen,0.8450980400142568
qwen2.5:7b,5,42,points_scoring,1,Qwen,0.8450980400142568
qwen2.5:7b,5,42,points_scoring,0,Qwen,0.8450980400142568
qwen2.5:7b,5,42,points_scoring,1,Qwen,0.8450980400142568
qwen2.5:7b,5,42,warehouse,1,Qwen,0.8450980400142568
qwen2.5:7b,5,42,warehouse,1,Qwen,0.8450980400142568
qwen2.5:7b,5,42,warehouse,1,Qwen,0.8450980400142568
qwen2.5:7b,5,42,warehouse,0,Qwen,0.8450980400142568
qwen2.5:7b,5,42,warehouse,1,Qwen,0.8450980400142568
qwen2.5:7b,7,42,points_scoring,0,Qwen,0.8450980400142568
qwen2.5:7b,7,42,points_scoring,0,Qwen,0.8450980400142568
qwen2.5:7b,7,42,points_scoring,0,Qwen,0.8450980400142568
qwen2.5:7b,7,42,points_scoring,0,Qwen,0.8450980400142568
qwen2.5:7b,7,42,points_scoring,0,Qwen,0.8450980400142568
qwen2.5:7b,7,42,warehouse,0,Qwen,0.8450980400142568
qwen2.5:7b,7,42,warehouse,1,Qwen,0.8450980400142568
qwen2.5:7b,7,42,warehouse,0,Qwen,0.8450980400142568
qwen2.5:7b,7,42,warehouse,0,Qwen,0.8450980400142568
qwen2.5:7b,7,42,warehouse,1,Qwen,0.8450980400142568
qwen2.5:7b,3,43,points_scoring,0,Qwen,0.8450980400142568
qwen2.5:7b,3,43,points_scoring,1,Qwen,0.8450980400142568
qwen2.5:7b,3,43,points_scoring,1,Qwen,0.8450980400142568
qwen2.5:7b,3,43,points_scoring,1,Qwen,0.8450980400142568
qwen2.5:7b,3,43,points_scoring,0,Qwen,0.8450980400142568
qwen2.5:7b,3,43,warehouse,0,Qwen,0.8450980400142568
qwen2.5:7b,3,43,warehouse,0,Qwen,0.8450980400142568
qwen2.5:7b,3,43,warehouse,1,Qwen,0.8450980400142568
qwen2.5:7b,3,43,warehouse,1,Qwen,0.8450980400142568
qwen2.5:7b,3,43,warehouse,0,Qwen,0.8450980400142568
qwen2.5:7b,5,43,points_scoring,1,Qwen,0.8450980400142568
qwen2.5:7b,5,43,points_scoring,0,Qwen,0.8450980400142568
qwen2.5:7b,5,43,points_scoring,0,Qwen,0.8450980400142568
qwen2.5:7b,5,43,points_scoring,0,Qwen,0.8450980400142568
qwen2.5:7b,5,43,points_scoring,1,Qwen,0.8450980400142568
qwen2.5:7b,5,43,warehouse,1,Qwen,0.8450980400142568
qwen2.5:7b,5,43,warehouse,0,Qwen,0.8450980400142568
qwen2.5:7b,5,43,warehouse,0,Qwen,0.8450980400142568
qwen2.5:7b,5,43,warehouse,1,Qwen,0.8450980400142568
qwen2.5:7b,5,43,warehouse,0,Qwen,0.8450980400142568
qwen2.5:7b,7,43,points_scoring,0,Qwen,0.8450980400142568
qwen2.5:7b,7,43,points_scoring,0,Qwen,0.8450980400142568
qwen2.5:7b,7,43,points_scoring,0,Qwen,0.8450980400142568
qwen2.5:7b,7,43,points_scoring,0,Qwen,0.8450980400142568
